image_id,screen_id,record_id,source_group_id,source,source_object_id,title,image_type,license,license_class,source_url,image_url,thumbnail_url,local_file,sha256,bytes,pixel_width,pixel_height,mime,dataset_role,needs_manual_review,selected_for_training,quality_manual,notes
COM_160739790,S006,COM_160739790,MET_64086,Wikimedia Commons,160739790,"Scènes de palais, l’arrivée d’une délégation et les festivités en l’honneur du général Guo Ziyi (697-781) des Tang.jpg",scaled_800px,Public domain,public_domain,"https://commons.wikimedia.org/wiki/File:Sc%C3%A8nes_de_palais,_l%E2%80%99arriv%C3%A9e_d%E2%80%99une_d%C3%A9l%C3%A9gation_et_les_festivit%C3%A9s_en_l%E2%80%99honneur_du_g%C3%A9n%C3%A9ral_Guo_Ziyi_(697-781)_des_Tang.jpg",https://upload.wikimedia.org/wikipedia/commons/2/29/Sc%C3%A8nes_de_palais%2C_l%E2%80%99arriv%C3%A9e_d%E2%80%99une_d%C3%A9l%C3%A9gation_et_les_festivit%C3%A9s_en_l%E2%80%99honneur_du_g%C3%A9n%C3%A9ral_Guo_Ziyi_%28697-781%29_des_Tang.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Sc%C3%A8nes_de_palais%2C_l%E2%80%99arriv%C3%A9e_d%E2%80%99une_d%C3%A9l%C3%A9gation_et_les_festivit%C3%A9s_en_l%E2%80%99honneur_du_g%C3%A9n%C3%A9ral_Guo_Ziyi_%28697-781%29_des_Tang.jpg/960px-Sc%C3%A8nes_de_palais%2C_l%E2%80%99arriv%C3%A9e_d%E2%80%99une_d%C3%A9l%C3%A9gation_et_les_festivit%C3%A9s_en_l%E2%80%99honneur_du_g%C3%A9n%C3%A9ral_Guo_Ziyi_%28697-781%29_des_Tang.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S006\full.jpg,1c11981f856e8b899e6c78a38173d96dd8d10c54111c7c8ff27f794963b1d1bf,198117,35300,14137,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_160739795,S006,COM_160739795,MET_64086,Wikimedia Commons,160739795,"Scènes de palais, l’arrivée d’une délégation et les festivités en l’honneur du général Guo Ziyi (697-781) des Tang (détail).tif",scaled_800px,Public domain,public_domain,"https://commons.wikimedia.org/wiki/File:Sc%C3%A8nes_de_palais,_l%E2%80%99arriv%C3%A9e_d%E2%80%99une_d%C3%A9l%C3%A9gation_et_les_festivit%C3%A9s_en_l%E2%80%99honneur_du_g%C3%A9n%C3%A9ral_Guo_Ziyi_(697-781)_des_Tang_(d%C3%A9tail).tif",https://upload.wikimedia.org/wikipedia/commons/3/3d/Sc%C3%A8nes_de_palais%2C_l%E2%80%99arriv%C3%A9e_d%E2%80%99une_d%C3%A9l%C3%A9gation_et_les_festivit%C3%A9s_en_l%E2%80%99honneur_du_g%C3%A9n%C3%A9ral_Guo_Ziyi_%28697-781%29_des_Tang_%28d%C3%A9tail%29.tif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Sc%C3%A8nes_de_palais%2C_l%E2%80%99arriv%C3%A9e_d%E2%80%99une_d%C3%A9l%C3%A9gation_et_les_festivit%C3%A9s_en_l%E2%80%99honneur_du_g%C3%A9n%C3%A9ral_Guo_Ziyi_%28697-781%29_des_Tang_%28d%C3%A9tail%29.tif/lossy-page1-960px-Sc%C3%A8nes_de_palais%2C_l%E2%80%99arriv%C3%A9e_d%E2%80%99une_d%C3%A9l%C3%A9gation_et_les_festivit%C3%A9s_en_l%E2%80%99honneur_du_g%C3%A9n%C3%A9ral_Guo_Ziyi_%28697-781%29_des_Tang_%28d%C3%A9tail%29.tif.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S006\detail.jpg,3cae7081b2d2257eae6a85cc0f73a1ac076ae325a1a3d191dcc62367406aeda0,760302,4775,13650,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_173045322,S025,COM_173045322,COM_OBJECT_ELTHAM_COURT_COROMANDEL,Wikimedia Commons,173045322,"1212906 II Star ELTHAM COURT (ELTHAM PALACE), COURT YARD, Chinese incised lacquer Coromandel screen Greenwich London 20250610 0001.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:1212906_II_Star_ELTHAM_COURT_(ELTHAM_PALACE),_COURT_YARD,_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0001.jpg",https://upload.wikimedia.org/wikipedia/commons/9/9c/1212906_II_Star_ELTHAM_COURT_%28ELTHAM_PALACE%29%2C_COURT_YARD%2C_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/1212906_II_Star_ELTHAM_COURT_%28ELTHAM_PALACE%29%2C_COURT_YARD%2C_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0001.jpg/960px-1212906_II_Star_ELTHAM_COURT_%28ELTHAM_PALACE%29%2C_COURT_YARD%2C_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S025\full.jpg,5d8321069042d51c2de2b454997a42d0a3591096d25738c255d344a98bc4bacb,252824,8256,5505,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_173045359,S025,COM_173045359,COM_OBJECT_ELTHAM_COURT_COROMANDEL,Wikimedia Commons,173045359,"1212906 II Star ELTHAM COURT (ELTHAM PALACE), COURT YARD, Chinese incised lacquer Coromandel screen Greenwich London 20250610 0002.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:1212906_II_Star_ELTHAM_COURT_(ELTHAM_PALACE),_COURT_YARD,_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0002.jpg",https://upload.wikimedia.org/wikipedia/commons/6/67/1212906_II_Star_ELTHAM_COURT_%28ELTHAM_PALACE%29%2C_COURT_YARD%2C_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0002.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/1212906_II_Star_ELTHAM_COURT_%28ELTHAM_PALACE%29%2C_COURT_YARD%2C_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0002.jpg/960px-1212906_II_Star_ELTHAM_COURT_%28ELTHAM_PALACE%29%2C_COURT_YARD%2C_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0002.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S025\additional.jpg,b6348aaffe7394f1d2f634bde2370e8ba8d5c570846e5bec41ed27b1f2ce21a4,444941,5504,8448,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_173045387,S025,COM_173045387,COM_OBJECT_ELTHAM_COURT_COROMANDEL,Wikimedia Commons,173045387,"1212906 II Star ELTHAM COURT (ELTHAM PALACE), COURT YARD, Chinese incised lacquer Coromandel screen Greenwich London 20250610 0003.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:1212906_II_Star_ELTHAM_COURT_(ELTHAM_PALACE),_COURT_YARD,_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0003.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a8/1212906_II_Star_ELTHAM_COURT_%28ELTHAM_PALACE%29%2C_COURT_YARD%2C_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0003.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/1212906_II_Star_ELTHAM_COURT_%28ELTHAM_PALACE%29%2C_COURT_YARD%2C_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0003.jpg/960px-1212906_II_Star_ELTHAM_COURT_%28ELTHAM_PALACE%29%2C_COURT_YARD%2C_Chinese_incised_lacquer_Coromandel_screen_Greenwich_London_20250610_0003.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S025\additional_01.jpg,b4e394733a508694cdcb37f94bbe359e75299ec12ea128a043e52090dd57074b,387330,4854,7450,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_176638606,S006,COM_176638606,MET_64086,Wikimedia Commons,176638606,清康熙三十二年黑漆款彩郭子仪贺寿图屏.jpg,scaled_800px,Public domain,public_domain,https://commons.wikimedia.org/wiki/File:%E6%B8%85%E5%BA%B7%E7%86%99%E4%B8%89%E5%8D%81%E4%BA%8C%E5%B9%B4%E9%BB%91%E6%BC%86%E6%AC%BE%E5%BD%A9%E9%83%AD%E5%AD%90%E4%BB%AA%E8%B4%BA%E5%AF%BF%E5%9B%BE%E5%B1%8F.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/%E6%B8%85%E5%BA%B7%E7%86%99%E4%B8%89%E5%8D%81%E4%BA%8C%E5%B9%B4%E9%BB%91%E6%BC%86%E6%AC%BE%E5%BD%A9%E9%83%AD%E5%AD%90%E4%BB%AA%E8%B4%BA%E5%AF%BF%E5%9B%BE%E5%B1%8F.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/%E6%B8%85%E5%BA%B7%E7%86%99%E4%B8%89%E5%8D%81%E4%BA%8C%E5%B9%B4%E9%BB%91%E6%BC%86%E6%AC%BE%E5%BD%A9%E9%83%AD%E5%AD%90%E4%BB%AA%E8%B4%BA%E5%AF%BF%E5%9B%BE%E5%B1%8F.jpg/960px-%E6%B8%85%E5%BA%B7%E7%86%99%E4%B8%89%E5%8D%81%E4%BA%8C%E5%B9%B4%E9%BB%91%E6%BC%86%E6%AC%BE%E5%BD%A9%E9%83%AD%E5%AD%90%E4%BB%AA%E8%B4%BA%E5%AF%BF%E5%9B%BE%E5%B1%8F.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S006\additional.jpg,5e413457a4b5d18c6d564d6abe405fc63e8312ce614ebebddd847f6f371a6ab3,195907,7836,4250,image/jpeg,auxiliary_candidate,yes,,,
COM_185491502,S011,COM_185491502,COM_GROUP_f1c18d53e278,Wikimedia Commons,185491502,"Small coromandel screen, China, Qing dynasty, 1700-1800 AD, lacquered and inlaid wood, black with colors, Asian Art Museum SF - DSC08683.jpg",scaled_800px,CC0,public_domain,"https://commons.wikimedia.org/wiki/File:Small_coromandel_screen,_China,_Qing_dynasty,_1700-1800_AD,_lacquered_and_inlaid_wood,_black_with_colors,_Asian_Art_Museum_SF_-_DSC08683.jpg",https://upload.wikimedia.org/wikipedia/commons/9/9a/Small_coromandel_screen%2C_China%2C_Qing_dynasty%2C_1700-1800_AD%2C_lacquered_and_inlaid_wood%2C_black_with_colors%2C_Asian_Art_Museum_SF_-_DSC08683.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Small_coromandel_screen%2C_China%2C_Qing_dynasty%2C_1700-1800_AD%2C_lacquered_and_inlaid_wood%2C_black_with_colors%2C_Asian_Art_Museum_SF_-_DSC08683.jpg/960px-Small_coromandel_screen%2C_China%2C_Qing_dynasty%2C_1700-1800_AD%2C_lacquered_and_inlaid_wood%2C_black_with_colors%2C_Asian_Art_Museum_SF_-_DSC08683.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S011\full.jpg,319e5f046310fb8bc1ceef9d8d82b98a58c3a279d2efa2ca18697e5a0b2f8de4,194520,5242,3087,image/jpeg,auxiliary_candidate,yes,,,
COM_196561140,S018,COM_196561140,COM_OBJECT_NANTES_COROMANDEL,Wikimedia Commons,196561140,"Musée d'Histoire de Nantes, paravent en laque de Coromandel-01.jpg",scaled_800px,CC0,public_domain,"https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_d%27Histoire_de_Nantes,_paravent_en_laque_de_Coromandel-01.jpg",https://upload.wikimedia.org/wikipedia/commons/2/23/Mus%C3%A9e_d%27Histoire_de_Nantes%2C_paravent_en_laque_de_Coromandel-01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Mus%C3%A9e_d%27Histoire_de_Nantes%2C_paravent_en_laque_de_Coromandel-01.jpg/960px-Mus%C3%A9e_d%27Histoire_de_Nantes%2C_paravent_en_laque_de_Coromandel-01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S018\additional_01.jpg,e7eea057d4060b8778a03da9594d28e79ab4db8f178e260863db566e51c04484,258422,5315,3543,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_196561141,S018,COM_196561141,COM_OBJECT_NANTES_COROMANDEL,Wikimedia Commons,196561141,"Musée d'Histoire de Nantes, paravent en laque de Coromandel-02.jpg",scaled_800px,CC0,public_domain,"https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_d%27Histoire_de_Nantes,_paravent_en_laque_de_Coromandel-02.jpg",https://upload.wikimedia.org/wikipedia/commons/9/9f/Mus%C3%A9e_d%27Histoire_de_Nantes%2C_paravent_en_laque_de_Coromandel-02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Mus%C3%A9e_d%27Histoire_de_Nantes%2C_paravent_en_laque_de_Coromandel-02.jpg/960px-Mus%C3%A9e_d%27Histoire_de_Nantes%2C_paravent_en_laque_de_Coromandel-02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S018\additional_02.jpg,2a2fea051fa05a432a6f4c2ae50634efef646b38ca983765697a049bff0882ea,188040,5315,2346,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_24666533,S018,COM_24666533,COM_OBJECT_NANTES_COROMANDEL,Wikimedia Commons,24666533,Danseuses et musiciennes chinoises (Musée dhistoire de Nantes) (7342514826).jpg,scaled_800px,CC BY 2.0,cc_by,https://commons.wikimedia.org/wiki/File:Danseuses_et_musiciennes_chinoises_(Mus%C3%A9e_dhistoire_de_Nantes)_(7342514826).jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Danseuses_et_musiciennes_chinoises_%28Mus%C3%A9e_dhistoire_de_Nantes%29_%287342514826%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Danseuses_et_musiciennes_chinoises_%28Mus%C3%A9e_dhistoire_de_Nantes%29_%287342514826%29.jpg/960px-Danseuses_et_musiciennes_chinoises_%28Mus%C3%A9e_dhistoire_de_Nantes%29_%287342514826%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S018\additional_03.jpg,bf725a46743503f1c9c1cd70de20605bf498335d59b3bd43a57c2a9259c020b4,360862,1213,1024,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_34212551,S021,COM_34212551,COM_GROUP_eb86f02e5b60,Wikimedia Commons,34212551,Hofmobiliendepot - Chinesischer Paravent.jpg,scaled_800px,CC BY-SA 4.0,cc_by_sa_review,https://commons.wikimedia.org/wiki/File:Hofmobiliendepot_-_Chinesischer_Paravent.jpg,https://upload.wikimedia.org/wikipedia/commons/4/47/Hofmobiliendepot_-_Chinesischer_Paravent.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Hofmobiliendepot_-_Chinesischer_Paravent.jpg/960px-Hofmobiliendepot_-_Chinesischer_Paravent.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S021\full.jpg,93f1608b20e3a212d9dbf76fe1aadb42da6b0335bb3e90a6ecbd819a38b48eb1,225283,4364,3388,image/jpeg,auxiliary_candidate,yes,,,
COM_51350616,S020,COM_51350616,COM_GROUP_53ebac964941,Wikimedia Commons,51350616,"Cina, paravento bianco e blu in porcellana, xviii secolo.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Cina,_paravento_bianco_e_blu_in_porcellana,_xviii_secolo.jpg",https://upload.wikimedia.org/wikipedia/commons/5/5b/Cina%2C_paravento_bianco_e_blu_in_porcellana%2C_xviii_secolo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Cina%2C_paravento_bianco_e_blu_in_porcellana%2C_xviii_secolo.jpg/960px-Cina%2C_paravento_bianco_e_blu_in_porcellana%2C_xviii_secolo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S020\full.jpg,be90bd1dafab252c700807c28be2764d3ee87f9152288c7d8c40f8766b5ba6e4,232538,2744,1800,image/jpeg,auxiliary_candidate,yes,,,
COM_51350617,S016,COM_51350617,COM_GROUP_c81a2cc7764c,Wikimedia Commons,51350617,"Cina, paravento in stile coromandel, lacca, madreperla, tartaruga e oro, 1750-1800 ca. 00.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Cina,_paravento_in_stile_coromandel,_lacca,_madreperla,_tartaruga_e_oro,_1750-1800_ca._00.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a6/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._00.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._00.jpg/960px-Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._00.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S016\full.jpg,3ad79cb6ca7385524e321040b1f023df3e0230cf2ab6af1d338d5a6aa5056c0c,36112,2940,2140,image/jpeg,auxiliary_candidate,yes,,,
COM_51350620,S016,COM_51350620,COM_GROUP_c81a2cc7764c,Wikimedia Commons,51350620,"Cina, paravento in stile coromandel, lacca, madreperla, tartaruga e oro, 1750-1800 ca. 03.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Cina,_paravento_in_stile_coromandel,_lacca,_madreperla,_tartaruga_e_oro,_1750-1800_ca._03.jpg",https://upload.wikimedia.org/wikipedia/commons/4/4c/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._03.jpg/960px-Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S016\additional.jpg,4bce850a959706335cd959069e0d39557d8c91182acbc04213437a75a53c80a0,473182,2244,3172,image/jpeg,auxiliary_candidate,yes,,,
COM_51350621,S016,COM_51350621,COM_GROUP_c81a2cc7764c,Wikimedia Commons,51350621,"Cina, paravento in stile coromandel, lacca, madreperla, tartaruga e oro, 1750-1800 ca. 02.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Cina,_paravento_in_stile_coromandel,_lacca,_madreperla,_tartaruga_e_oro,_1750-1800_ca._02.jpg",https://upload.wikimedia.org/wikipedia/commons/c/ce/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._02.jpg/960px-Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S016\additional_01.jpg,f54bf6c64d96ad842e251214bf7f0b1a846431c3e6c3bfc9edcf6eeb8a3ae18a,535693,2304,3456,image/jpeg,auxiliary_candidate,yes,,,
COM_51350622,S016,COM_51350622,COM_GROUP_c81a2cc7764c,Wikimedia Commons,51350622,"Cina, paravento in stile coromandel, lacca, madreperla, tartaruga e oro, 1750-1800 ca. 01.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Cina,_paravento_in_stile_coromandel,_lacca,_madreperla,_tartaruga_e_oro,_1750-1800_ca._01.jpg",https://upload.wikimedia.org/wikipedia/commons/1/14/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._01.jpg/960px-Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S016\additional_02.jpg,991fee21ee946d024ed4972e0956dcec2148092a67a07851965b070278e33a6c,275067,2896,2073,image/jpeg,auxiliary_candidate,yes,,,
COM_51350625,S016,COM_51350625,COM_GROUP_c81a2cc7764c,Wikimedia Commons,51350625,"Cina, paravento in stile coromandel, lacca, madreperla, tartaruga e oro, 1750-1800 ca. 04.jpg",scaled_800px,CC BY-SA 4.0,cc_by_sa_review,"https://commons.wikimedia.org/wiki/File:Cina,_paravento_in_stile_coromandel,_lacca,_madreperla,_tartaruga_e_oro,_1750-1800_ca._04.jpg",https://upload.wikimedia.org/wikipedia/commons/5/55/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._04.jpg/960px-Cina%2C_paravento_in_stile_coromandel%2C_lacca%2C_madreperla%2C_tartaruga_e_oro%2C_1750-1800_ca._04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S016\additional_03.jpg,c0084312c689ba7a2833a74eeb723f5bb5cee931835eb0feaf385f85a2553609,486471,2184,3212,image/jpeg,auxiliary_candidate,yes,,,
COM_57379603,S003,COM_57379603,MET_911983,Wikimedia Commons,57379603,清 佚名 中國地圖 屏風-Map of China MET 25 21.jpeg,scaled_800px,CC0,public_domain,https://commons.wikimedia.org/wiki/File:%E6%B8%85_%E4%BD%9A%E5%90%8D_%E4%B8%AD%E5%9C%8B%E5%9C%B0%E5%9C%96_%E5%B1%8F%E9%A2%A8-Map_of_China_MET_25_21.jpeg,https://upload.wikimedia.org/wikipedia/commons/f/fc/%E6%B8%85_%E4%BD%9A%E5%90%8D_%E4%B8%AD%E5%9C%8B%E5%9C%B0%E5%9C%96_%E5%B1%8F%E9%A2%A8-Map_of_China_MET_25_21.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/f/fc/%E6%B8%85_%E4%BD%9A%E5%90%8D_%E4%B8%AD%E5%9C%8B%E5%9C%B0%E5%9C%96_%E5%B1%8F%E9%A2%A8-Map_of_China_MET_25_21.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,raw\S003\full.jpg,c2a53930a99224a57ba3141c942d43c7fd9b6b3b1e85f24748eeaad1995589f8,157632,899,641,image/jpeg,auxiliary_candidate,yes,,,Ming/Qing date not explicit
COM_58784057,S007,COM_58784057,COM_OBJECT_WOMEN_IN_PALACE_12_PANEL,Wikimedia Commons,58784057,清康熙 黑漆嵌螺鈿仕女圖屏風-Women in a Palace MET DP141220.jpg,scaled_800px,CC0,public_domain,https://commons.wikimedia.org/wiki/File:%E6%B8%85%E5%BA%B7%E7%86%99_%E9%BB%91%E6%BC%86%E5%B5%8C%E8%9E%BA%E9%88%BF%E4%BB%95%E5%A5%B3%E5%9C%96%E5%B1%8F%E9%A2%A8-Women_in_a_Palace_MET_DP141220.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/%E6%B8%85%E5%BA%B7%E7%86%99_%E9%BB%91%E6%BC%86%E5%B5%8C%E8%9E%BA%E9%88%BF%E4%BB%95%E5%A5%B3%E5%9C%96%E5%B1%8F%E9%A2%A8-Women_in_a_Palace_MET_DP141220.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/%E6%B8%85%E5%BA%B7%E7%86%99_%E9%BB%91%E6%BC%86%E5%B5%8C%E8%9E%BA%E9%88%BF%E4%BB%95%E5%A5%B3%E5%9C%96%E5%B1%8F%E9%A2%A8-Women_in_a_Palace_MET_DP141220.jpg/960px-%E6%B8%85%E5%BA%B7%E7%86%99_%E9%BB%91%E6%BC%86%E5%B5%8C%E8%9E%BA%E9%88%BF%E4%BB%95%E5%A5%B3%E5%9C%96%E5%B1%8F%E9%A2%A8-Women_in_a_Palace_MET_DP141220.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,raw\S007\full.jpg,826014ef047c4a6e3433ed3720f2da8f13d0825270d29a6033e9fa5746d0a7c6,249516,2000,1500,image/jpeg,core_candidate,no,,,
